cause_of_death,category,confidence
46xx true hermaphrodite,none,0.9999882444470426
abdominal aortic aneurysm ruptured,none,0.9667090527622012
abnormal uterine and vaginal bleeding unspecified,none,0.9999940998094822
abnormal weight loss,none,0.9999925501719494
abscess of bartholin gland,none,0.9999946510298469
abscess of lung with pneumonia,pulmonary disease,0.7309350665507554
abscess of mediastinum,none,0.9525429318036396
abscess of prostate,none,0.9953872374760065
abscess of salivary gland,none,0.9999828203861711
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,0.9999609482478596
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,0.9999818530861934
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,0.9999679362216984
accident to commercial fixed-wing aircraft injuring occupant,none,0.9999974078834613
accident to watercraft causing drowning and submersion canoe or kayak,none,0.9999962310308461
accident to watercraft causing drowning and submersion other unpowered watercraft,none,0.9999971398624982
accident to watercraft causing other injury other powered watercraft,none,0.9999950686136093
achondroplasia,none,0.999999448776502
acne vulgaris,none,0.9999990615514773
acquired coagulation factor deficiency,none,0.999999612774776
acquired deformity of chest and rib,none,0.9999976462901958
acquired deformity of limb unspecified,none,0.9999978399024225
acquired deformity of musculoskeletal system unspecified,none,0.9999981975127001
acquired hydrocephalus of newborn 2016 onwards,none,0.9999895556730831
actinomycetoma,none,0.9999992999586204
acute amoebic dysentery,none,0.9999990615514631
acute and subacute haemorrhagic leukoencephalitis [hurst],none,0.9999329809180422
acute appendicitis other and unspecified,none,0.9999950534333509
acute appendicitis with generalized peritonitis - 2008 classification,none,0.9998957181561138
acute bronchiolitis due to other specified organisms,pulmonary disease,0.26891363861545353
acute bronchitis due to other specified organisms,pulmonary disease,0.9998493459919173
acute bronchitis due to respiratory syncytial virus,pulmonary disease,0.9971917218328317
acute cystitis,none,0.9999981527180788
acute disseminated encephalitis,none,0.9999980335146725
acute endocarditis unspecified,none,0.9990682960533689
acute gastroenteropathy due to norwalk agent,none,0.9999981079235164
acute hepatitis b without delta-agent with hepatic coma,none,0.9999953070198146
acute hepatitis e,none,0.9999992999586204
acute inflammation of orbit,none,0.999996632688748
acute laryngitis,pulmonary disease,0.7309255576515014
acute laryngotracheitis,pulmonary disease,0.9975199007199376
acute meningococcaemia,none,0.9999980335146725
acute monoblastic/monocytic leukaemia,none,0.9889328402088423
acute myelomonocytic leukaemia,none,0.9858794000404599
acute nephritic syndrome focal and segmental glomerular lesions,none,0.9999932957492126
acute renal failure unspecified,none,0.9999923861746632
acute renal failure with tubular necrosis,none,0.9999884228780159
acute salpingitis and oophoritis,none,0.9999976311098983
acute sinusitis unspecified,pulmonary disease,0.8807280654915293
acute thyroiditis,none,0.99999901675686
acute tonsillitis due to other specified organisms,pulmonary disease,0.6513424659619123
acute tracheitis,pulmonary disease,0.9994401994202016
acute transmural myocardial infarction of other sites,ischaemic heart disease,0.9666084014365343
acute vascular disorders of intestine,none,0.9999754747062951
adjustment disorders,none,0.9999946510296053
adrenogenital disorder unspecified,none,0.9999988975533081
adult hypertrophic pyloric stenosis,none,0.999998703940905
alcoholic cardiomyopathy,none,0.9578924331959842
alcoholic hepatitis,none,0.9999858748392122
aluminosis of lung,pulmonary disease,0.6223445394678898
alzheimer disease unspecified,none,0.9999609323231726
amniotic fluid embolism,none,0.9999985103284825
anaemia due to enzyme disorder unspecified,none,0.9999985103285252
anaemia unspecified,none,0.9999986591462894
anal prolapse,none,0.999999091165777
anaplastic large cell lymphoma alk-negative,none,0.9999885572598678
anaplastic large cell lymphoma alk-positive,none,0.9999984359196513
anencephaly,none,0.9999990615514915
aneurysm and dissection of carotid artery,none,0.9980852658625999
aneurysm and dissection of iliac artery,none,0.9999954710173952
aneurysm and dissection of unspecified site,none,0.9999903900904217
aneurysm of heart,ischaemic heart disease,0.164498134922389
angioimmunoblastic t-cell lymphoma,none,0.9999851300130576
annular pancreas,none,0.9999991359604119
anoxic brain damage not elsewhere classified,none,0.9999435742116513
anthrax sepsis,none,0.999999493571153
antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,none,0.9999564186961675
anticoagulant antagonists vitamin k and other coagulants,none,0.9999927445294671
aortic aneurysm of unspecified site without mention of rupture,none,0.9859124424375545
aplastic anaemia unspecified,none,0.9999328761530987
appendicular concretions,none,0.9999969606843992
arnold-chiari syndrome,none,0.999998510328511
arthritis unspecified,none,0.9999992999586204
asphyxia,none,0.9999717195172123
ataxic gait,none,0.9999983911249909
atherosclerosis of other arteries,ischaemic heart disease,0.6224433397004226
atherosclerotic heart disease,ischaemic heart disease,0.9999878564804093
atresia and stenosis of ureter,none,0.9999964990515798
atresia of bile ducts,none,0.9999973479086105
atresia of foramina of magendie and luschka,none,0.999992580532348
atresia of oesophagus with tracheo-oesophageal fistula,none,0.9999576995217189
atresia of oesophagus without fistula,none,0.9999946365959022
atresia of pulmonary artery,pulmonary disease,0.24498958642719873
atrioventricular block first degree,none,0.96687797671104
atrioventricular septal defect,none,0.9997593902860709
autoimmune hepatitis,none,0.9999987487355225
autoimmune polyglandular failure,none,0.9999911797142754
autonomic dysreflexia,none,0.9999987039408907
b-cell lymphoma unspecified,none,0.9999860092205938
background retinopathy and retinal vascular changes,none,0.9999882892414617
bacterial intestinal infection unspecified,none,0.9999899284605218
bacterial meningoencephalitis and meningomyelitis not elsewhere classified,none,0.9999929829351609
bacterial pneumonia unspecified,pulmonary disease,0.2941713972847658
benign intracranial hypertension,none,0.9999969158898617
benign lipomatous neoplasm of intrathoracic organs,none,0.9999873948514517
benign neoplasm adrenal gland,none,0.999993697406163
benign neoplasm appendix,none,0.9999917453669331
benign neoplasm bone and articular cartilage unspecified,none,0.9999979887200443
benign neoplasm caecum,none,0.9999796315606383
benign neoplasm connective and other soft tissue of pelvis,none,0.999994114989584
benign neoplasm extrahepatic bile ducts,none,0.9999913581453461
benign neoplasm lacrimal gland and duct,none,0.999999091165777
benign neoplasm lower jaw bone,none,0.9999977503132281
benign neoplasm lymph nodes,none,0.999999612774776
benign neoplasm nasopharynx,none,0.9997452643331833
benign neoplasm parotid gland,none,0.9999996871837232
benign neoplasm penis,none,0.9999996871837232
benign neoplasm pituitary gland,none,0.9999998063873693
benign neoplasm spinal cord,none,1.0
benign paroxysmal vertigo,none,0.9999993295729128
bilateral inguinal hernia with gangrene,none,0.9999987039408765
biliary cirrhosis unspecified,none,0.999993220594463
biliary cyst,none,0.9999996871837232
bipolar affective disorder unspecified,none,0.999999493571153
birth asphyxia unspecified,none,0.9999993743675585
birth injury unspecified,none,1.0
bronchopulmonary dysplasia originating in the perinatal period,pulmonary disease,0.08509557887595419
brucellosis unspecified,none,1.0
bullous pemphigoid,none,0.9999962302845802
bursopathy unspecified,none,0.999999493571153
bus occupant [any] injured in other specified transport accidents,none,0.9999537659732299
bus occupant injured in collision with fixed or stationary object driver injured in traffic accident,none,0.9999833875271106
