cause_of_death,category,confidence
46xx true hermaphrodite,none,0.9999922525383751
abdominal aortic aneurysm ruptured,none,0.946291540608788
abnormal uterine and vaginal bleeding unspecified,none,0.9999979591057774
abnormal weight loss,none,0.9999796763559078
abscess of bartholin gland,none,0.9999942934207806
abscess of lung with pneumonia,none,0.20178206060561876
abscess of mediastinum,none,0.9999818667734282
abscess of prostate,none,0.9982940766946029
abscess of salivary gland,none,0.9999942190121638
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,0.9999623938171548
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,0.9999729729872402
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,0.9999750586240251
accident to commercial fixed-wing aircraft injuring occupant,none,0.9999974822922728
accident to watercraft causing drowning and submersion canoe or kayak,none,0.9999935789494807
accident to watercraft causing drowning and submersion other unpowered watercraft,none,0.999996275825424
accident to watercraft causing other injury other powered watercraft,none,0.9999963502341087
achondroplasia,none,1.0
acne vulgaris,none,0.9999974671118498
acquired coagulation factor deficiency,none,0.9999993743675585
acquired deformity of chest and rib,none,0.9999983911250335
acquired deformity of limb unspecified,none,0.9999973182943767
acquired deformity of musculoskeletal system unspecified,none,0.9999977358793525
acquired hydrocephalus of newborn 2016 onwards,none,0.9999889596611613
actinomycetoma,none,1.0
acute amoebic dysentery,none,0.9999990615514773
acute and subacute haemorrhagic leukoencephalitis [hurst],none,0.9999206438703627
acute appendicitis other and unspecified,none,0.9999916413444118
acute appendicitis with generalized peritonitis - 2008 classification,none,0.9999487892766653
acute bronchiolitis due to other specified organisms,none,0.9889986058380215
acute bronchitis due to other specified organisms,none,0.9991656981918428
acute bronchitis due to respiratory syncytial virus,none,0.9999937422003573
acute cystitis,none,0.999999612774776
acute disseminated encephalitis,none,0.9999983167161687
acute endocarditis unspecified,none,0.999887567652552
acute gastroenteropathy due to norwalk agent,none,0.9999945022125513
acute hepatitis b without delta-agent with hepatic coma,none,0.9999956198347213
acute hepatitis e,none,0.999999493571153
acute inflammation of orbit,none,0.9999932653886645
acute laryngitis,none,0.9044849353584853
acute laryngotracheitis,none,0.9991791680474648
acute meningococcaemia,none,0.9999981079235306
acute monoblastic/monocytic leukaemia,none,0.9397290598006321
acute myelomonocytic leukaemia,none,0.9923800856785906
acute nephritic syndrome focal and segmental glomerular lesions,none,0.9999937125864719
acute renal failure unspecified,none,0.9999933101832231
acute renal failure with tubular necrosis,none,0.9999880356568202
acute salpingitis and oophoritis,none,0.9999987487354941
acute sinusitis unspecified,none,0.9999955598600345
acute thyroiditis,none,0.9999985399427375
acute tonsillitis due to other specified organisms,none,0.9999974078834613
acute tracheitis,none,0.9998988611825345
acute transmural myocardial infarction of other sites,none,0.2450066757397829
acute vascular disorders of intestine,none,0.9999892124995489
adjustment disorders,none,0.9999944126235422
adrenogenital disorder unspecified,none,0.9999982271269173
adult hypertrophic pyloric stenosis,none,0.99999818233238
alcoholic cardiomyopathy,none,0.9705425610289108
alcoholic hepatitis,none,0.9999824476013822
aluminosis of lung,none,0.7548401197568313
alzheimer disease unspecified,none,0.999989882919839
amniotic fluid embolism,none,0.9999989423479343
anaemia due to enzyme disorder unspecified,none,0.9999993743675443
anaemia unspecified,none,0.999996587894339
anal prolapse,none,1.0
anaplastic large cell lymphoma alk-negative,none,0.9999275123629122
anaplastic large cell lymphoma alk-positive,none,0.9999969310701768
anencephaly,none,0.9999980183344259
aneurysm and dissection of carotid artery,none,0.9999893317024153
aneurysm and dissection of iliac artery,none,0.999997691084766
aneurysm and dissection of unspecified site,none,0.9999965734602811
aneurysm of heart,none,0.9914083654035459
angioimmunoblastic t-cell lymphoma,none,0.9999953814284982
annular pancreas,none,0.999999448776502
anoxic brain damage not elsewhere classified,none,0.9999921629496671
anthrax sepsis,none,0.9999988231444054
antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,none,0.9999710058085721
anticoagulant antagonists vitamin k and other coagulants,none,0.9999958286267403
aortic aneurysm of unspecified site without mention of rupture,none,0.9997290309649398
aplastic anaemia unspecified,none,0.9999660427116187
appendicular concretions,none,0.9999988231444054
arnold-chiari syndrome,none,0.9999992551639781
arthritis unspecified,none,0.9999995679801056
asphyxia,none,0.9999992103693378
ataxic gait,none,0.999999091165777
atherosclerosis of other arteries,none,0.8353232299618449
