cause_of_death,category,confidence
46xx true hermaphrodite,none,0.9999845043898765
abdominal aortic aneurysm ruptured,none,0.9463579119757156
abnormal uterine and vaginal bleeding unspecified,none,0.9999976759043967
abnormal weight loss,none,0.9999920285668616
abscess of bartholin gland,none,0.9999957238575854
abscess of lung with pneumonia,none,0.24504241306612712
abscess of mediastinum,none,0.9999800787516665
abscess of prostate,none,0.9989633796470994
abscess of salivary gland,none,0.9999936974058787
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none,0.9999480452257702
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none,0.9999664018036665
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none,0.9999694114134788
accident to commercial fixed-wing aircraft injuring occupant,none,0.9999975270868214
accident to watercraft causing drowning and submersion canoe or kayak,none,0.9999944581645165
accident to watercraft causing drowning and submersion other unpowered watercraft,none,0.9999960670331552
accident to watercraft causing other injury other powered watercraft,none,0.9999961566221988
achondroplasia,none,1.0
acne vulgaris,none,0.9999990615514773
acquired coagulation factor deficiency,none,0.9999998063873693
acquired deformity of chest and rib,none,0.9999986295320026
acquired deformity of limb unspecified,none,0.9999982719215136
acquired deformity of musculoskeletal system unspecified,none,0.9999987935301279
acquired hydrocephalus of newborn 2016 onwards,none,0.9999920589272017
actinomycetoma,none,0.9999996871837232
acute amoebic dysentery,none,0.9999991807550347
acute and subacute haemorrhagic leukoencephalitis [hurst],none,0.9999510388527499
acute appendicitis other and unspecified,none,0.9999943382152291
acute appendicitis with generalized peritonitis - 2008 classification,none,0.9999361096234343
acute bronchiolitis due to other specified organisms,none,0.9978110042644108
acute bronchitis due to other specified organisms,none,0.9992668874991402
acute bronchitis due to respiratory syncytial virus,none,0.9999859940409134
acute cystitis,none,0.9999992551639781
acute disseminated encephalitis,none,0.9999990319372213
acute endocarditis unspecified,none,0.999919987928194
acute gastroenteropathy due to norwalk agent,none,0.9999989871425625
acute hepatitis b without delta-agent with hepatic coma,none,0.9999925501719068
acute hepatitis e,none,0.9999991807550347
acute inflammation of orbit,none,0.9999970798877346
acute laryngitis,none,0.9706089313019302
acute laryngotracheitis,none,0.9998981460268029
acute meningococcaemia,none,0.9999969606842998
acute monoblastic/monocytic leukaemia,none,0.9705170414757089
acute myelomonocytic leukaemia,none,0.9968016078889512
acute nephritic syndrome focal and segmental glomerular lesions,none,0.999995187816847
acute renal failure unspecified,none,0.9999968414811776
acute renal failure with tubular necrosis,none,0.9999927589633703
acute salpingitis and oophoritis,none,0.9999982423072951
acute sinusitis unspecified,none,0.9999968263007644
acute thyroiditis,none,0.9999988527586979
acute tonsillitis due to other specified organisms,none,0.9999976759044535
acute tracheitis,none,0.9999571027820355
acute transmural myocardial infarction of other sites,none,0.22263826261272945
acute vascular disorders of intestine,none,0.9999780523334403
adjustment disorders,none,0.9999966774832445
adrenogenital disorder unspecified,none,0.9999990167568458
adult hypertrophic pyloric stenosis,none,0.999997318294263
alcoholic cardiomyopathy,none,0.9322224434561115
alcoholic hepatitis,none,0.9999936229976331
aluminosis of lung,none,0.7309418738666983
alzheimer disease unspecified,none,0.9999920285666911
amniotic fluid embolism,none,0.9999990615514915
anaemia due to enzyme disorder unspecified,none,0.9999991807550347
anaemia unspecified,none,0.9999972287052716
anal prolapse,none,1.0
anaplastic large cell lymphoma alk-negative,none,0.9999638675084598
